"rssi","uuid","eventId","logType","timeStamp"
"-94","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800114678"
"-98","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800114830"
"-97","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800115043"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800115157"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800115404"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800115542"
"-98","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800115646"
"-97","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800115883"
"-97","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800116121"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800116381"
"-98","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800117220"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800117564"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800117907"
"-97","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800118043"
"-97","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800118149"
"-99","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800118405"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800118513"
"-99","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800118885"
"-99","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800119341"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800119486"
"-97","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800119723"
"-99","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800119829"
"-97","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800119964"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800120429"
"-97","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800120670"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800120804"
"-95","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800120911"
"-94","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800121042"
"-94","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800121781"
"-96","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800121883"
"-99","68c70cfa-1fed-40aa-82e3-dee53f3e83d2","0","0","1646800122122"
