"rssi","uuid","eventId","logType","timeStamp"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333400991"
"-92","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333401068"
"-91","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333401206"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333401315"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333401599"
"-90","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333401692"
"-88","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333401804"
"-88","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333401935"
"-87","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333402056"
"-88","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333402150"
"-88","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333402276"
"-88","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333402401"
"-87","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333402522"
"-87","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333402645"
"-86","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333402765"
"-87","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333402923"
"-87","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403018"
"-87","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403142"
"-88","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403236"
"-90","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403348"
"-89","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403479"
"-92","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403608"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403727"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403851"
"-95","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333403980"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333404097"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333404213"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333404343"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333404461"
"-92","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333404590"
"-91","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333404717"
"-88","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333404823"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333404951"
"-89","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333405073"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333405171"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333406390"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333406514"
"-99","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333406635"
"-95","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333406762"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333406852"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333406974"
"-95","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333407090"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333407224"
"-95","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333407346"
"-95","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333407474"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333407596"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333407686"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333407810"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333407962"
"-91","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333408053"
"-91","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333408180"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333408302"
"-100","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333408425"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333408553"
"-95","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333408674"
"-95","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333408797"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333408920"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409046"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409199"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409290"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409412"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409540"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409653"
"-96","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409739"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409868"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333409999"
"-92","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333410120"
"-94","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333410241"
"-92","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333410367"
"-92","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333410491"
"-93","23b597d5-b6c6-4ab7-be9d-913e5097b814","0","0","1647333410615"
