,rssi,target
0,-71,1
1,-71,1
2,-77,1
3,-69,1
4,-70,1
5,-66,1
6,-73,1
7,-98,0
8,-96,0
9,-68,1
10,-97,0
11,-67,1
12,-69,1
13,-72,1
14,-70,1
15,-71,1
16,-66,1
17,-66,1
18,-96,0
19,-67,1
20,-66,1
21,-96,0
22,-97,0
23,-96,0
24,-96,0
25,-96,0
26,-68,1
27,-98,0
28,-96,0
29,-97,0
30,-70,1
31,-94,0
32,-71,1
33,-70,1
34,-70,1
35,-73,1
36,-70,1
37,-96,0
38,-67,1
39,-77,1
40,-69,1
41,-97,0
42,-69,1
43,-70,1
44,-66,1
45,-96,0
46,-96,0
47,-99,0
48,-96,0
49,-67,1
50,-73,1
51,-65,1
52,-65,1
53,-71,1
54,-95,0
55,-95,0
56,-68,1
57,-96,0
58,-98,0
59,-95,0
60,-96,0
61,-72,1
62,-97,0
63,-69,1
64,-95,0
65,-97,0
66,-94,0
67,-95,0
68,-70,1
69,-96,0
70,-66,1
71,-95,0
72,-70,1
73,-68,1
74,-67,1
75,-71,1
76,-68,1
77,-70,1
78,-70,1
79,-69,1
80,-69,1
81,-95,0
82,-66,1
83,-70,1
84,-72,1
85,-72,1
86,-99,0
87,-71,1
88,-68,1
89,-71,1
90,-70,1
91,-96,0
92,-67,1
93,-66,1
94,-97,0
95,-95,0
96,-71,1
97,-67,1
98,-95,0
99,-95,0
100,-73,1
101,-96,0
102,-69,1
103,-98,0
104,-74,1
105,-96,0
106,-94,0
107,-71,1
108,-97,0
109,-67,1
110,-98,0
111,-69,1
112,-66,1
113,-71,1
114,-68,1
115,-66,1
116,-96,0
117,-96,0
118,-67,1
119,-69,1
120,-68,1
121,-67,1
122,-68,1
123,-69,1
124,-69,1
125,-97,0
126,-70,1
127,-70,1
128,-71,1
129,-70,1
130,-95,0
131,-97,0
132,-65,1
133,-94,0
134,-71,1
135,-68,1
136,-96,0
137,-72,1
138,-68,1
139,-68,1
140,-95,0
141,-96,0
142,-66,1
143,-67,1
144,-72,1
145,-68,1
146,-98,0
147,-71,1
148,-66,1
149,-68,1
150,-97,0
151,-96,0
152,-71,1
153,-70,1
154,-95,0
155,-70,1
156,-96,0
157,-69,1
158,-71,1
159,-95,0
160,-69,1
161,-97,0
162,-69,1
163,-73,1
164,-67,1
165,-67,1
166,-68,1
167,-68,1
168,-68,1
169,-67,1
170,-94,0
171,-69,1
172,-67,1
173,-71,1
174,-97,0
175,-96,0
176,-70,1
177,-70,1
178,-68,1
179,-95,0
180,-64,1
181,-71,1
182,-96,0
183,-95,0
184,-72,1
185,-97,0
186,-70,1
187,-95,0
188,-67,1
189,-69,1
190,-96,0
191,-95,0
192,-95,0
193,-68,1
194,-68,1
195,-72,1
196,-97,0
197,-70,1
198,-66,1
199,-70,1
200,-97,0
201,-94,0
202,-70,1
203,-68,1
204,-68,1
205,-71,1
206,-69,1
207,-68,1
208,-67,1
209,-68,1
210,-69,1
211,-95,0
212,-73,1
213,-97,0
214,-95,0
215,-70,1
216,-95,0
217,-95,0
218,-65,1
219,-69,1
220,-69,1
221,-97,0
222,-93,0
223,-65,1
224,-67,1
225,-96,0
